Date,Open,High,Low,Last,Vol,Diff,Hash,LS,LS_TH_S,LS_P,LS_MWh_TH,HS,HS_TH_S,HS_P,HS_MWh_TH,UK_EP,US_EP,AUS_EP,RU_EP
2014-03-28,475,532,468.3,502.01,46086772.16,5006860589,45547.30735,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,69.78802,43.22875,46.669609,28.0866
2014-03-29,502.01,508,486.97,491.99,46086772.16,5006860589,45547.30735,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,69.78802,40.89563,44.995902,28.3286
2014-03-30,491.99,492,436,460,38016411.82,5006860589,37084.96609,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,69.78802,40.265,43.914003,27.7784
2014-03-31,460,486.7,438,454.83,38016411.82,5006860589,37084.96609,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,69.9804,45.61875,46.485978,30.1006
2014-04-01,454.81,509.98,452.04,478.98,30189108.95,5006860589,44551.73779,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.34067,44.25563,47.547035,30.5427
2014-04-02,478.98,494.98,430,439,30189108.95,5006860589,44551.73779,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,66.99875,46.92062,48.759431,28.2723
2014-04-03,438.9,465,416.11,449.9,32532433.45,5006860589,51769.6171,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,69.292475,43.88562,46.661824,28.5539
2014-04-04,451.03,459.5,430.77,452,32532433.45,5006860589,51769.6171,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,65.64888,43.0625,46.334217,29.1035
2014-04-05,450,464.8,441.25,464.8,10058715.77,6119726089,54454.16888,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,65.64888,36.58313,44.699001,31.4097
2014-04-06,464.8,465,450.2,456.58,10058715.77,6119726089,54454.16888,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,65.64888,36.19563,44.522472,29.6670
2014-04-07,459.97,464.19,446,447.11,13092815.49,6119726089,44415.13216,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,64.7712,42.63937,45.27468,31.2863
2014-04-08,447.11,459.8,446.24,453.57,13092815.49,6119726089,44415.13216,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,68.99352,43.88562,46.08864,29.1871
2014-04-09,453.57,457.3,438.08,441.69,10450373.91,6119726089,44110.91892,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,71.366,42.37938,47.324212,29.7911
2014-04-10,441.69,442.46,357.57,363.12,10450373.91,6119726089,44110.91892,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.1669,40.23875,47.639193,29.3482
2014-04-11,363.1,432.22,339.79,423,52943745.97,6119726089,45327.77186,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.742896,39.8,46.0208,28.0177
2014-04-12,423,439.5,413.72,423.36,52943745.97,6119726089,45327.77186,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.742896,34.6175,45.260048,30.7954
2014-04-13,424.91,427.75,397.16,416.3,19755964.93,6119726089,60538.43356,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.742896,33.53688,45.22248,28.1401
2014-04-14,416.29,475,408,458.5,19755964.93,6119726089,60538.43356,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.93408,37.61125,45.17832,33.4769
2014-04-15,459.99,528.75,453.16,521.01,39716663.12,6119726089,59321.58062,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.75944,40.55812,45.348868,29.9541
2014-04-16,523.1,548,494.02,529.97,39716663.12,6119726089,59321.58062,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,68.35972,45.71188,45.43513,30.7543
2014-04-17,529.26,533.8,481.63,500.09,29256897.63,6978842650,60364.10607,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.85802,44.10188,44.694725,32.7876
2014-04-18,500.09,506.97,470,482.49,29256897.63,6978842650,60364.10607,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.16067,37.82563,41.304384,31.3034
2014-04-19,482.1,507.43,472.81,503.8,15006702.56,6978842650,56547.98442,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.16067,40.58313,42.283824,37.3573
2014-04-20,505.18,516.53,493,500,15006702.56,6978842650,56547.98442,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.16067,35.54688,42.125248,32.8157
2014-04-21,501.07,515,490,496.74,11809736.66,6978842650,61404.86652,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.09626,40.93438,43.300618,34.8958
2014-04-22,497.98,504.9,485.2,490,11809736.66,6978842650,61404.86652,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.73651,40.99875,45.111472,32.7772
2014-04-23,490,495.2,484.61,492,7615953.314,6978842650,60711.02622,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.7277,40.73687,45.60899,35.7580
2014-04-24,491.94,505,480,502.2,7615953.314,6978842650,60711.02622,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,68.72427,43.74062,44.207526,35.1376
2014-04-25,502.15,503.99,438.05,466.52,38579703.62,6978842650,56894.90457,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,67.212,44.94437,44.16755,31.8325
2014-04-26,466.71,470.96,451.07,459.73,38579703.62,6978842650,56894.90457,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,67.212,41.06375,44.87245,31.8564
2014-04-27,459.22,461.97,429.95,430,8216763.219,6978842650,57935.66502,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,67.212,40.3175,44.6684,27.4679
2014-04-28,430,452.16,424,442.8,8216763.219,6978842650,57935.66502,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.2701,47.645,45.877692,34.4417
2014-04-29,440.41,454.47,432.02,448,13408409.9,6978842650,54813.38367,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,71.422125,48.54688,45.283448,31.4560
2014-04-30,448,453.99,433.08,449.22,13408409.9,6978842650,54813.38367,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.0105,47.77937,47.658922,32.7663
2014-05-01,449,465.88,447.97,460.97,10804490.97,8000872136,66817.88587,S1,0.18,299,7.2,S2,1,2259,3.96,69.675375,42.26937,48.187704,32.3035
2014-05-02,460.97,462.99,444.51,454.5,10804490.97,8000872136,66817.88587,S1,0.18,299,7.2,S2,1,2259,3.96,69.1465,41.57125,47.445784,31.9322
2014-05-03,452,454.5,431,439,8855097.301,8000872136,57272.47361,S1,0.18,299,7.2,S2,1,2259,3.96,69.1465,36.91063,44.756324,33.8486
2014-05-04,439,442.83,429.55,437.52,8855097.301,8000872136,57272.47361,S1,0.18,299,7.2,S2,1,2259,3.96,69.1465,30.87,44.737776,32.0673
2014-05-05,435.88,445,425,433,8503701.124,8000872136,49715.68889,S1,0.18,299,7.2,S2,1,2259,3.96,69.791818,42.06187,46.595263,33.7493
2014-05-06,431.64,434,420.27,428.01,8503701.124,8000872136,49715.68889,S1,0.18,299,7.2,S2,1,2259,3.96,66.54592,41.625,59.848841,32.4127
2014-05-07,429,452,425.67,440,14317047.98,8000872136,64829.25832,S1,0.18,299,7.2,S2,1,2259,3.96,66.9604,40.40688,51.80593,30.9525
2014-05-08,441.47,450.08,437.61,440.79,14317047.98,8000872136,64829.25832,S1,0.18,299,7.2,S2,1,2259,3.96,64.761075,39.56125,49.959544,34.0691
2014-05-09,439.6,457.08,437.71,452.37,14317047.98,8000872136,66022.43485,S1,0.18,299,7.2,S2,1,2259,3.96,68.002564,40.63187,47.19312,34.0691
2014-05-10,452.78,459.24,449.79,455.39,3992390.343,8000872136,66022.43485,S1,0.18,299,7.2,S2,1,2259,3.96,68.002564,34.25063,45.3492,32.9918
2014-05-11,457.7,458.2,429.6,440,3992390.343,8000872136,66022.43485,S1,0.18,299,7.2,S2,1,2259,3.96,68.002564,32.91625,44.89992,31.2393
2014-05-12,437.67,443.77,431.56,442.45,5570250.304,8000872136,66022.43485,S1,0.18,299,7.2,S2,1,2259,3.96,69.49204,42.10375,48.862254,34.7737
2014-05-13,442.48,442.75,430.61,439.12,5570250.304,8853416309,74817.97102,S1,0.18,299,7.2,S2,1,2259,3.96,70.3285,42.565,49.273962,30.6842
2014-05-14,439.12,449.96,438.36,446,6666880.579,8853416309,74817.97102,S1,0.18,299,7.2,S2,1,2259,3.96,69.91422,39.00625,46.790016,30.8817
2014-05-15,444.07,452.67,444.02,446,6666880.579,8853416309,73057.54817,S1,0.18,299,7.2,S2,1,2259,3.96,68.15522,35.955,47.116816,32.3872
2014-05-16,446.27,452.41,444.5,447.31,4410263.871,8853416309,73057.54817,S1,0.18,299,7.2,S2,1,2259,3.96,66.57948,32.90125,44.230725,32.2830
2014-05-17,447.55,451.48,445.01,449.06,4410263.871,8853416309,80539.34527,S1,0.18,299,7.2,S2,1,2259,3.96,66.57948,30.3475,42.21811,32.6637
2014-05-18,449.07,451.43,444.52,446.91,2031245.97,8853416309,80539.34527,S1,0.18,299,7.2,S2,1,2259,3.96,66.57948,27.72625,42.527023,29.5347
2014-05-19,446.91,450,441.44,448.34,2031245.97,8853416309,77898.711,S1,0.18,299,7.2,S2,1,2259,3.96,66.90778,34.555,44.42946,32.0867
2014-05-20,448.34,500,447.14,489,31623706.44,8853416309,77898.711,S1,0.18,299,7.2,S2,1,2259,3.96,65.6643,35.44062,44.199703,30.5856
2014-05-21,489,499.1,487.11,493.98,31623706.44,8853416309,78338.81671,S1,0.18,299,7.2,S2,1,2259,3.96,64.638675,34.2425,45.181365,29.9460
2014-05-22,493.98,530,492.65,529.99,23581401.65,8853416309,78338.81671,S1,0.18,299,7.2,S2,1,2259,3.96,65.27916,37.14563,86.382474,32.2939
2014-05-23,529.99,547.1,518.55,522.82,23581401.65,8853416309,69536.70248,S1,0.18,299,7.2,S2,1,2259,3.96,64.98063,32.86375,45.677926,32.0944
2014-05-24,523.75,529.06,515.4,528.44,9312733.145,8853416309,69536.70248,S1,0.18,299,7.2,S2,1,2259,3.96,64.98063,28.39437,44.598484,35.7227
2014-05-25,528.44,586.34,527.09,573.9,9312733.145,10455720138,78483.25676,S1,0.18,299,7.2,S2,1,2259,3.96,64.98063,25.37,43.002386,33.7669
2014-05-26,573.5,593.48,565.58,581.88,24116882.5,10455720138,78483.25676,S1,0.18,299,7.2,S2,1,2259,3.96,66.16436,32.01125,45.173276,35.2886
2014-05-27,581.87,595,550.22,572.7,24116882.5,10455720138,67048.61008,S1,0.18,299,7.2,S2,1,2259,3.96,65.471055,38.83625,45.516669,34.1783
